datetime,date,time,Ltot_raw (kW),Ltot_impute (kW),temp,temp_K,peak_type,is_peak,generation_outage,scenario,P_clear,price,hourly_cost,price_old_hourly_cost,hour,day_of_week,is_weekend,T_schedule_base_F,P_average_24h,sigma_actual_24h,P_clear_z_24h,P_clear_lag_1,P_clear_lag_2,P_clear_lag_3,P_clear_lag_24,P_clear_lag_25,P_clear_lag_26,P_clear_lag_48,P_clear_lag_168,load_lag_1,load_lag_2,load_lag_3,load_lag_24,load_lag_25,load_lag_26,temp_lag_1,temp_lag_24
2025-01-02 00:00:00,2025-01-02,00:00:00,0.6176214244897766,0.6176214244897766,75.45200000000008,297.29,off_peak,0,0,normal,2.8,2.8,1.7293399885713745,1.7293399885713745,0,3,0,74.0,2.8,1.1582833165871775,0.0,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,0.6176214244897766,0.6176214244897766,0.6176214244897766,0.6176214244897766,0.6176214244897766,0.6176214244897766,75.45200000000008,75.45200000000008
2025-01-02 01:00:00,2025-01-02,01:00:00,0.5772919464810828,0.5772919464810828,79.29500000000006,299.425,off_peak,0,0,normal,2.8,2.8,1.616417450147032,1.616417450147032,1,3,0,74.0,2.8,1.1582833165871775,0.0,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,0.6176214244897766,0.5772919464810828,0.5772919464810828,0.5772919464810828,0.5772919464810828,0.5772919464810828,75.45200000000008,79.29500000000006
2025-01-02 02:00:00,2025-01-02,02:00:00,0.5912739581887562,0.5912739581887562,84.50150000000004,302.3175,off_peak,0,0,normal,2.8,2.8,1.6555670829285172,1.6555670829285172,2,3,0,74.0,2.8,0.2,0.0,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,0.5772919464810828,0.6176214244897766,0.5912739581887562,0.5912739581887562,0.5912739581887562,0.5912739581887562,79.29500000000006,84.50150000000004
2025-01-02 03:00:00,2025-01-02,03:00:00,0.608813588722133,0.608813588722133,88.65500000000004,304.625,off_peak,1,0,normal,3.226,3.226,1.964032637217601,1.7046780484219723,3,3,0,74.0,2.8,0.2,2.13,2.8,2.8,2.8,3.226,3.226,3.226,3.226,3.226,0.5912739581887562,0.5772919464810828,0.6176214244897766,0.608813588722133,0.608813588722133,0.608813588722133,84.50150000000004,88.65500000000004
2025-01-02 04:00:00,2025-01-02,04:00:00,0.6580332588366568,0.6580332588366568,91.24250000000004,306.0625,off_peak,1,0,normal,3.5674,3.5674,2.3474678475738893,2.1228152930070547,4,3,0,74.0,2.9065,0.213,3.1028,3.226,2.8,2.8,3.5674,3.5674,3.5674,3.5674,3.5674,0.608813588722133,0.5912739581887562,0.5772919464810828,0.6580332588366568,0.6580332588366568,0.6580332588366568,88.65500000000004,91.24250000000004
2025-01-02 05:00:00,2025-01-02,05:00:00,0.6760910110720799,0.6760910110720799,92.71850000000003,306.8825,off_peak,1,0,normal,3.5138,3.5138,2.3756485947050745,2.411887072898538,5,3,0,74.0,3.0386800000000003,0.3484028013664645,1.3637,3.5674,3.226,2.8,3.5138,3.5138,3.5138,3.5138,3.5138,0.6580332588366568,0.608813588722133,0.5912739581887562,0.6760910110720799,0.6760910110720799,0.6760910110720799,91.24250000000004,92.71850000000003
2025-01-02 06:00:00,2025-01-02,06:00:00,0.609032511036482,0.609032511036482,93.35750000000006,307.2375,mid_peak,1,0,normal,3.8921,3.8921,2.370415436205092,2.1400184372799904,6,3,0,72.0,3.1178666666666666,0.3670569147511959,2.1093,3.5138,3.5674,3.226,3.8921,3.8921,3.8921,3.8921,3.8921,0.6760910110720799,0.6580332588366568,0.608813588722133,0.609032511036482,0.609032511036482,0.609032511036482,92.71850000000003,93.35750000000006
2025-01-02 07:00:00,2025-01-02,07:00:00,0.5807741365941399,0.5807741365941399,93.3035,307.2075,mid_peak,1,0,normal,3.6378,3.6378,2.112740154102162,2.260431017038052,7,3,0,72.0,3.2284714285714284,0.4448702534233464,0.9201,3.8921,3.5138,3.5674,3.6378,3.6378,3.6378,3.6378,3.6378,0.609032511036482,0.6760910110720799,0.6580332588366568,0.5807741365941399,0.5807741365941399,0.5807741365941399,93.35750000000006,93.3035
2025-01-02 08:00:00,2025-01-02,08:00:00,2.094968367034004,2.094968367034004,92.741,306.895,mid_peak,1,0,normal,4.8754,4.8754,10.213808776637585,7.621075925596298,8,3,0,72.0,3.2796375,0.4365552491217055,3.6554,3.6378,3.8921,3.5138,4.8754,4.8754,4.8754,4.8754,4.8754,0.5807741365941399,0.609032511036482,0.6760910110720799,2.094968367034004,2.094968367034004,2.094968367034004,93.3035,92.741
2025-01-02 09:00:00,2025-01-02,09:00:00,3.238010820253011,3.238010820253011,91.21550000000006,306.0475,mid_peak,1,0,normal,4.7472,4.7472,15.371484965905095,15.786597953061529,9,3,0,76.0,3.456944444444444,0.6705950326223554,1.924,4.8754,3.6378,3.8921,4.7472,4.7472,4.7472,4.7472,4.7472,2.094968367034004,0.5807741365941399,0.609032511036482,3.238010820253011,3.238010820253011,3.238010820253011,92.741,91.21550000000006
